fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
35057,"Torrance County, New Mexico",New Mexico,22950,199,8.671023965141613,8.671023965141613
35059,"Union County, New Mexico",New Mexico,6690,62,9.267563527653214,9.267563527653214
35061,"Valencia County, New Mexico",New Mexico,120860,971,8.034089028628165,8.034089028628165
36001,"Albany County, New York",New York,605100,4218,6.9707486365889935,6.9707486365889935
36003,"Allegany County, New York",New York,75880,545,7.182393252503954,7.182393252503954
36005,"Bronx County, New York",New York,2555680,23188,9.073123395730295,9.073123395730295
36007,"Broome County, New York",New York,357700,2571,7.187587363712608,7.187587363712608
36009,"Cattaraugus County, New York",New York,138280,1010,7.304020827306913,7.304020827306913
36011,"Cayuga County, New York",New York,142400,1001,7.029494382022472,7.029494382022472
36013,"Chautauqua County, New York",New York,230370,1695,7.357728870946738,7.357728870946738
36015,"Chemung County, New York",New York,158400,1159,7.316919191919192,7.316919191919192
36017,"Chenango County, New York",New York,91140,662,7.2635505815229315,7.2635505815229315
36019,"Clinton County, New York",New York,145290,1008,6.937848441048937,6.937848441048937
36021,"Columbia County, New York",New York,119640,875,7.3136074891340686,7.3136074891340686
36023,"Cortland County, New York",New York,82720,592,7.156673114119922,7.156673114119922
36025,"Delaware County, New York",New York,79730,588,7.374890254609306,7.374890254609306
36027,"Dutchess County, New York",New York,558390,3896,6.977202313795018,6.977202313795018
36029,"Erie County, New York",New York,1785070,12471,6.986280650058541,6.986280650058541
36031,"Essex County, New York",New York,71020,499,7.026189805688539,7.026189805688539
36033,"Franklin County, New York",New York,80710,597,7.3968529302440835,7.3968529302440835
36035,"Fulton County, New York",New York,99590,739,7.420423737323024,7.420423737323024
36037,"Genesee County, New York",New York,113050,757,6.696152145068554,6.696152145068554
36039,"Greene County, New York",New York,88390,625,7.0709356262020595,7.0709356262020595
36041,"Hamilton County, New York",New York,10410,76,7.300672430355427,7.300672430355427
36043,"Herkimer County, New York",New York,112590,805,7.14983568700595,7.14983568700595
36045,"Jefferson County, New York",New York,207670,1563,7.526363942793855,7.526363942793855
36047,"Kings County, New York",New York,4764610,40569,8.514652825729703,8.514652825729703
36049,"Lewis County, New York",New York,46960,339,7.218909710391823,7.218909710391823
36051,"Livingston County, New York",New York,112530,761,6.762641073491513,6.762641073491513
36053,"Madison County, New York",New York,125710,891,7.087741627555485,7.087741627555485
36055,"Monroe County, New York",New York,1444260,10387,7.191918352651185,7.191918352651185
36057,"Montgomery County, New York",New York,91070,683,7.499725485889974,7.499725485889974
36059,"Nassau County, New York",New York,2822510,21690,7.6846494786555235,7.6846494786555235
36061,"New York County, New York",New York,3536620,31509,8.909354129083702,8.909354129083702
36063,"Niagara County, New York",New York,418810,2866,6.843198586471192,6.843198586471192
36065,"Oneida County, New York",New York,418960,3033,7.23935459232385,7.23935459232385
36067,"Onondaga County, New York",New York,888290,6405,7.210483062963672,7.210483062963672
36069,"Ontario County, New York",New York,215560,1500,6.9586194099090735,6.9586194099090735
36071,"Orange County, New York",New York,710580,5115,7.198345013932281,7.198345013932281
36073,"Orleans County, New York",New York,74280,519,6.987075928917609,6.987075928917609
36075,"Oswego County, New York",New York,212830,1539,7.2311234318470134,7.2311234318470134
36077,"Otsego County, New York",New York,106630,765,7.17434117978055,7.17434117978055
36079,"Putnam County, New York",New York,197590,1394,7.055012905511413,7.055012905511413
36081,"Queens County, New York",New York,4510330,35946,7.96970509918343,7.96970509918343
36083,"Rensselaer County, New York",New York,309100,2116,6.845681009382077,6.845681009382077
36085,"Richmond County, New York",New York,873370,6401,7.32908160344413,7.32908160344413
36087,"Rockland County, New York",New York,593850,4663,7.852151216637198,7.852151216637198
36089,"St. Lawrence County, New York",New York,173930,1270,7.301788075662623,7.301788075662623
36091,"Saratoga County, New York",New York,458590,3084,6.724961294402408,6.724961294402408
36093,"Schenectady County, New York",New York,303560,2170,7.148504414283832,7.148504414283832
36095,"Schoharie County, New York",New York,54880,392,7.142857142857142,7.142857142857142
36097,"Schuyler County, New York",New York,34960,250,7.1510297482837535,7.1510297482837535
36099,"Seneca County, New York",New York,61910,435,7.02632854143111,7.02632854143111
36101,"Steuben County, New York",New York,176650,1282,7.257288423436173,7.257288423436173
36103,"Suffolk County, New York",New York,3078460,22367,7.265645809917946,7.265645809917946
36105,"Sullivan County, New York",New York,135340,1031,7.617851337372543,7.617851337372543
36107,"Tioga County, New York",New York,94670,665,7.024400549276434,7.024400549276434
36109,"Tompkins County, New York",New York,163840,1165,7.110595703125,7.110595703125
36111,"Ulster County, New York",New York,344350,2482,7.207782779149121,7.207782779149121
36113,"Warren County, New York",New York,135940,969,7.128144769751361,7.128144769751361
36115,"Washington County, New York",New York,113620,814,7.164231649357507,7.164231649357507
36117,"Wayne County, New York",New York,178020,1221,6.858779912369397,6.858779912369397
36119,"Westchester County, New York",New York,1932670,15905,8.229547724132935,8.229547724132935
36121,"Wyoming County, New York",New York,73280,488,6.6593886462882095,6.6593886462882095
36123,"Yates County, New York",New York,44300,317,7.155756207674943,7.155756207674943
37001,"Alamance County, North Carolina",North Carolina,274750,2119,7.712465878070973,7.712465878070973
37003,"Alexander County, North Carolina",North Carolina,60410,456,7.548419135904652,7.548419135904652
37005,"Alleghany County, North Carolina",North Carolina,18040,145,8.037694013303769,8.037694013303769
37007,"Anson County, North Carolina",North Carolina,38240,340,8.89121338912134,8.89121338912134
37009,"Ashe County, North Carolina",North Carolina,43490,352,8.09381467003909,8.09381467003909
37011,"Avery County, North Carolina",North Carolina,27550,218,7.912885662431942,7.912885662431942
